SampleID	SampleID2	RIBBITR_ID	Species	Date	Location	region	site	survey_time	life_stage	sex	snout_vent_length	body_mass_g		ColoniesBact	ColoniesPast	CFU_bact	CFU_past	Percent_spore	Total bacteria_blue	Total_bacteria_red	No_fields_obs	Dilution factor	Area_mm2	Total_cells_ml	Active_cells_ml	Per_active	Per_dormant	ViableFluorRep1	TotalFluorRep1	ViableFluorRep2	TotalFluorRep2	ViableFluorRep3	TotalFluorRep3	ViableFluorAvg	TotalFluorAvg	PerViableSpores	S16CopiesRep1	S16CopiesRep2	S16CopiesRep3	S16CopiesAvg	bd_replicates	bd_detected	bd_mean_its1_copies_per_swab	total_peptides_ug	TotalNoSporesTbCl	ViableNoSporesTbCl	TotalNoSporesTbClCorrected	ViableNoSporesTbClCorrected	body_temp_c	lat	long	annual_mean_temp	mean_diurnal_range	isothermality	temp_seasonality	max_temp_warmest_month	min_temp_coldest_month	temp_annual_range	mean_temp_wettest_quarter	mean_temp_driest_quarter	mean_temp_warmest_quarter	mean_temp_coldest_quarter	annual_precip	precip_wettest_month	precip_driest_month	precip_seasonality	precip_wettest_quarter	precip_driest_quarter	precip_warmest_quarter	precip_coldest_quarter	Elevation_M
N/A	N/A	231119_K006	Colostethus panamansis	11/19/23	Panama	El Cope	Guabal	N/A	Adult	N/A	N/A	N/A		103	142	1.03E+04	1420	0.137864078	367	290	10	10	4	1.47E+05	1.16E+05	0.790190736	0.209809264	41262	32106	34047	87534	50266	26255	41858.33333	48631.66667	0.860721752	6.33E+05	9.65E+06	3.49E+06	4.59E+06	1	FALSE	0	151.608	94973.55392	-83816.17382	94973.55392	0	20	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	552
N/A	N/A	240804_D005	Colostethus panamansis	8/4/24	Panama	Altos de Campana	Rabbit	N/A	Adult	N/A	N/A	N/A		408	661	4.08E+04	6610	0.162009804	325	302	10	10	4	1.30E+05	1.21E+05	0.929230769	0.070769231	34134	60386	28052	55754	77896	37686	46694	51275.33333	0.910652295	8.77E+05	9.68E+06	8.19E+06	6.25E+06	1	TRUE	576.0498047	NA	104692.9167	-83815.99025	104692.9167	0	20	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
N/A	N/A	240804_D012	Colostethus panamansis	8/4/24	Panama	Altos de Campana	Rabbit	N/A	Adult	N/A	N/A	N/A		248	271	2.48E+04	2710	0.109274194	322	382	10	10	4	1.29E+05	1.53E+05	1.186335404	-0.186335404	31048	57993	21516	55759	27456	68509	26673.33333	60753.66667	0.439040716	4.75E+05	9.59E+06	4.46E+06	4.84E+06	1	TRUE	75.74201965	NA	139539.7304	-83817.72412	139539.7304	0	20.1	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
N/A	N/A	240804_D008	Colostethus panamansis	8/4/24	Panama	Altos de Campana	Rabbit	N/A	Adult	N/A	N/A	N/A		312	211	3.12E+04	2110	0.067628205	325	244	10	10	4	1.30E+05	9.76E+04	0.750769231	0.249230769	63444	74687	82267	58352	46563	23660	64091.33333	52233	1.227027613	9.19E+05	9.35E+06	3.37E+06	4.55E+06	1	TRUE	382.1060791	NA	108213.75	-83814.8271	108213.75	0	20.2	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
N/A	N/A	231119_K003	Colostethus panamansis	11/19/23	Panama	El Cope	Guabal	N/A	Adult	N/A	N/A	N/A		524	47	5.24E+04	470	0.008969466	332	272	10	10	4	1.33E+05	1.09E+05	0.819277108	0.180722892	33818	68003	63939	55692	48074	50855	48610.33333	58183.33333	0.835468347	4.50E+05	9.14E+06	5.31E+06	4.96E+06	1	TRUE	2174.24292	89.934	130089.9755	-83816.26666	130089.9755	0	20.4	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	552
N/A	N/A	240804_D007	Colostethus panamansis	8/4/24	Panama	Altos de Campana	Rabbit	N/A	Adult	N/A	N/A	N/A		319	470	3.19E+04	4700	0.147335423	322	328	10	10	4	1.29E+05	1.31E+05	1.01863354	-0.01863354	78052	78517	45077	20535	69229	32230	64119.33333	43760.66667	1.465227525	8.39E+05	9.56E+06	2.46E+06	4.28E+06	1	FALSE	0	NA	77065.46569	-83813.95137	77065.46569	0	20.5	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
N/A	N/A	241125_K003	Colostethus panamansis	11/25/24	Panama	El Cope	Guabal	N/A	Adult	N/A	N/A	N/A		538	386	5.38E+04	3860	0.071747212	290	251	10	10	4	1.16E+05	1.00E+05	0.865517241	0.134482759	27842	57685	41810	72260	86433	54887	52028.33333	61610.66667	0.844469572	3.54E+05	9.15E+06	7.66E+06	5.72E+06	1	FALSE	0	NA	142690.4657	-83816.23357	142690.4657	0	20.7	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	552
N/A	N/A	240720_K001	Colostethus panamansis	7/20/24	Panama	El Cope	Guabal	N/A	Adult	N/A	N/A	N/A		181	508	1.81E+04	5080	0.280662983	385	374	10	10	4	1.54E+05	1.50E+05	0.971428571	0.028571429	69845	79217	29853	62940	51896	28853	50531.33333	57003.33333	0.88646278	2.63E+05	9.31E+06	4.10E+06	4.56E+06	1	TRUE	1052.37146	NA	125751.7402	-83816.07918	125751.7402	0	20.8	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	552
N/A	N/A	240804_D003	Colostethus panamansis	8/4/24	Panama	Altos de Campana	Rabbit	N/A	Adult	N/A	N/A	N/A		223	460	2.23E+04	4600	0.206278027	383	367	10	10	4	1.53E+05	1.47E+05	0.958224543	0.041775457	46881	68992	48156	24805	77724	44771	57587	46189.33333	1.246759714	3.07E+05	9.47E+06	4.68E+05	3.41E+06	1	TRUE	4898.692383	NA	85994.38725	-83814.75456	85994.38725	0	20.8	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
N/A	N/A	231119_K004	Colostethus panamansis	11/19/23	Panama	El Cope	Guabal	N/A	Adult	N/A	N/A	N/A		526	308	5.26E+04	3080	0.058555133	349	256	10	10	4	1.40E+05	1.02E+05	0.733524355	0.266475645	28066	32728	55580	27782	25402	28889	36349.33333	29799.66667	1.219789931	6.03E+05	9.23E+06	1.46E+07	8.15E+06	1	TRUE	39.67700195	46.266	25738.2598	-83814.85371	25738.2598	0	20.9	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	552
