# Constructed from biom file
#OTU ID	SaSa2.RNA	AnMa1.DNA	BoOr1.DNA	SaSa9.DNA	BoOr2.RNA	AnMa5.DNA	BoOr8.RNA	BoOr4.RNA	SaSa7.DNA	AnMa2.RNA	SaSa5.DNA	SaSa1.DNA	SaSa8.RNA	AnMa3.DNA	AnMa7.DNA	AnMa4.RNA	BoOr9.DNA	SaSa3.DNA	AnMa10.RNA	BoOr10.RNA	BoOr3.DNA	SaSa6.RNA	AnMa9.DNA	BoOr5.DNA	BoOr7.DNA	SaSa4.RNA	AnMa6.RNA	SaSa10.RNA	AnMa8.RNA	BoOr6.RNA
f5e42a7a11098df3f6c4d1024da5ec0b	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fbc52a5326c28066eb9cd432804c16a2	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
4075a90811bf9c19f02f5aa2ece6da37	0.0	0.0	0.0	3.0	3.0	0.0	11.0	5.0	2.0	7.0	0.0	0.0	0.0	0.0	4.0	3.0	21.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
696fd98a26ec5461784fe6c052c38ed6	0.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c2fabdfe700ee583a2766d89c3546a07	0.0	0.0	0.0	3.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aeba818c2d3b09db5d05350dc07ba7fb	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
766e31312d40b8b074ff9deda360458e	0.0	0.0	0.0	2.0	17.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0
b9269a775868e8bb94ed764a2fa0c850	0.0	0.0	0.0	2.0	0.0	0.0	18.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f107b5bf5215a0b309f7723d42303642	0.0	0.0	0.0	2.0	4.0	0.0	9.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	3.0	0.0	0.0
4702bcec88c67c7b84f01cc6759b8081	0.0	0.0	0.0	2.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3e7f7d8ab3a5fb0e3401a0fda19d8bcb	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5d42e3d11916433f0943caa9c0410296	0.0	0.0	0.0	2.0	16.0	0.0	12.0	0.0	18.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
af2db38da290f7e77b4750ee624cbc34	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
271ef157f6d986b61087c876992bd677	0.0	0.0	0.0	2.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
f72f28e83cc983d9747538969084cded	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
39b5567d2d979a9172c02435a5ede59d	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
d5052d24d5bb47ea930e8991b6c4b8c0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
0c46ddfc569cd254a08fc12c30effd78	0.0	0.0	0.0	0.0	101.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	250.0	0.0	2.0	0.0	0.0
2083d6fad42af49396f2541bd4742889	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
8db96ed7ba6b058a4c356a19ff939bf1	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0
f5161b3419b9b5333ecf08d4ed6b8fa4	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ae4800df46af4ce7c15f18841b1a4213	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6ee3ce7dce36ec1fe31bccdd610c04eb	0.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2c16ddd3d2d3b8583943119d7736d709	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	6.0	0.0	0.0	18.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0
87d980b22c65ae7843e271b7561e1f23	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
