SampleID	SampleID2	RIBBITR_ID	Species	Date	Location	region	site	survey_time	life_stage	sex	snout_vent_length	body_mass_g	ColoniesBact	ColoniesPast	CFU_bact	CFU_past	Percent_spore	Total bacteria_blue	Total_bacteria_red	No_fields_obs	Dilution factor	Area_mm2	Total_cells_ml	Active_cells_ml	Per_active	Per_dormant	TotalFluorRep1	TotalFluorRep2	TotalFluorRep3	AvgFluorTotal	ViableFluorRep1	ViableFluorRep2	ViableFluorRep3	AvgFluorVia	PerViableSpores	TotalNoSporesTbCl	ViableNoSporesTbCl	TotalNoSporesTbClCorrected	ViableNoSporesTbClCorrected	S16CopiesRep1	S16CopiesRep2	S16CopiesRep3	S16CopiesAvg	bd_replicates	bd_detected	bd_mean_its1_copies_per_swab	total_peptides_ug	body_temp_c	lat	long	annual_mean_temp	mean_diurnal_range	isothermality	temp_seasonality	max_temp_warmest_month	min_temp_coldest_month	temp_annual_range	mean_temp_wettest_quarter	mean_temp_driest_quarter	mean_temp_warmest_quarter	mean_temp_coldest_quarter	annual_precip	precip_wettest_month	precip_driest_month	precip_seasonality	precip_wettest_quarter	precip_driest_quarter	precip_warmest_quarter	precip_coldest_quarter	Elevation_M
N/A	N/A	BR_242_amp	Hylodes phyllodes	10/19/24	Brazil	Santa Virginia	s5	NA	Adult	N/A	28.5	1.68	34.00	523.00	34000.00	5230	0.153823529	327	388	10	10	4	130800	114450	0.875	0.125	26563.05023	27258.4744	26466.88207	26762.80223	24006.41228	24768.24448	24643.56692	24472.74123	0.914431195	14577	6158	14577	6158	108377.00	127521.00	151244.00	1.29E+05	1	NA	NA	NA	19.2	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_227_amp	Hylodes phyllodes	10/18/24	Brazil	Santa Virginia	s2	NA	Adult	N/A	27.55	1.82	44.00	371.00	44000.00	3710	0.084318182	327	342	10	10	4	130800	102097	0.780558104	0.219441896	25785.15806	24802.45857	25632.21409	25406.61024	23828.23565	24007.74929	23702.98839	23846.32444	0.938587408	9591	3855	9591	3855	106533.00	173987.00	126625.00	1.36E+05	1	NA	NA	33.042	19.4	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_190_amp	Hylodes phyllodes	10/17/24	Brazil	Santa Virginia	s4	NA	Adult	N/A	28.5	1.96	37.00	640.00	37000.00	6400	0.172972973	328	289	10	10	4	131200	107147	0.816669207	0.183330793	25104.81631	23148.20975	23985.58437	24079.53681	22628.15971	21412.38397	23505.47295	22515.33888	0.935040365	4712	-1040	4712	0	171843.00	198758.00	149790.00	1.73E+05	1	NA	NA	NA	19.4	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_191_amp	Hylodes phyllodes	10/17/24	Brazil	Santa Virginia	s4	NA	Adult	N/A	28.5	1.96	57.00	259.00	57000.00	2590	0.045438596	329	382	10	10	4	131600	109301	0.830554711	0.169445289	24532.48806	24142.42931	24429.52494	24368.14744	24102.41789	21626.40836	21795.59072	22508.13899	0.923670503	5773	-1066	5773	0	128272.00	167668.00	125417.00	1.40E+05	1	NA	NA	89.22	1.95E+01	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_199_amp	Hylodes phyllodes	10/18/24	Brazil	Santa Virginia	s2	NA	Adult	N/A	25.65	1.51	46.00	258.00	46000.00	2580	0.056086957	330	299	10	10	4	132000	111833	0.847219697	0.152780303	24971.47941	25316.76689	25195.63338	25161.29323	24415.46283	24985.37707	24096.57387	24499.13792	0.973683574	8689	6255	8689	6255	159223.00	186594.00	138545.00	1.61E+05	1	NA	NA	13.134	19.6	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_221_amp	Hylodes phyllodes	10/18/24	Brazil	Santa Virginia	s2	NA	Adult	N/A	34.2	4.57	74.00	639.00	74000.00	6390	0.086351351	331	296	10	10	4	132400	120631	0.911110272	0.088889728	25388.16303	24931.48242	24973.07333	25097.57293	23250.33151	24392.42858	24631.92725	24091.56245	0.959916025	8455	4756	8455	4756	175700.00	119002.00	140530.00	1.45E+05	1	NA	NA	31.242	19.6	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_192_amp	Hylodes phyllodes	10/17/24	Brazil	Santa Virginia	s4	NA	Adult	N/A	25.65	1.46	42.00	92.00	42000.00	920	0.021904762	331	351	10	10	4	132400	104081	0.786110272	0.213889728	25220.66952	25182.80489	25210.32891	25204.6011	24110.91982	24749.03682	23849.39514	24236.4506	0.961588342	8848	5289	8848	5289	105912.00	107836.00	139166.00	1.18E+05	1	NA	NA	79.482	19.6	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_229_amp	Hylodes phyllodes	10/19/24	Brazil	Santa Virginia	s5	NA	Adult	N/A	24.7	1.55	38.00	373.00	38000.00	3730	0.098157895	336	389	10	10	4	134400	114987	0.855558036	0.144441964	25464.44207	25056.72376	25412.10343	25311.08975	24744.36418	24793.39719	24997.43498	24845.06545	0.981588138	9240	7526	9240	7526	166941.00	150638.00	154277.00	1.57E+05	1	NA	NA	NA	19.6	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_234_amp	Hylodes phyllodes	10/19/24	Brazil	Santa Virginia	s5	NA	Adult	N/A	24.7	1.29	49.00	231.00	49000.00	2310	0.047142857	350	279	10	10	4	140000	120944	0.863885714	0.136114286	23444.24484	23012.89204	23772.53126	23409.88938	21432.38234	22226.39993	21776.01374	21811.59867	0.931725833	2250	-3627	2250	0	133663.00	140559.00	187555.00	1.54E+05	1	NA	NA	NA	19.8	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_241_amp	Hylodes phyllodes	10/19/24	Brazil	Santa Virginia	s5	NA	Adult	N/A	21.85	1.58	71.00	304.00	71000.00	3040	0.042816901	352	270	10	10	4	140800	106382	0.755553977	0.244446023	24665.51319	25494.52266	24819.76769	24993.26784	22181.94949	24464.59651	23903.4739	23516.6733	0.940920309	8071	2643	8071	2643	198655.00	116454.00	128957.00	1.48E+05	1	NA	NA	NA	19.9	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
