capture_id	taxon_capture	sample_id_amp	sample_name_amp	total_peptides_ug	date	site	region	country	body_temp_c	substrate_temp_c	microhabitat_detailed	water_temp_c	p_h	tds_ppm	salinity_ppt	soil_moisture_m3_m3	cloud_cover_percent	dissolved_o2_percent	d1_percent_cover	vegetation_cover_percent	air_pressure_mbar	environmental_latitude	environmental_longitude	site_elevation_m
0a5a5e97-5917-5137-9597-f78c9dcdb958	hylodes_phyllodes	77d05eef-ebe4-57f6-8dce-d8836d5442cb	BRAMPsBath008	69.804	2022-10-31	t3	boraceia	brazil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bcf6cc06-7fa6-40b6-b730-b87c67bb9585	lithobates_sphenocephalus	NA	NA	NA	2019-07-15	newt	tennessee	usa	22	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
786e55af-63dc-4777-9af8-81d34eedbb93	lithobates_chiricahuensis	NA	NA	NA	2018-10-11	johnson_tank	new_mexico	usa	15.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
b7990dbf-03aa-4096-a5e9-3b5c1559339b	rana_pipiens	NA	NA	NA	2019-08-13	shelburne_pond	vermont	usa	25.5	25.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bc7a3cea-0bb5-4079-bde9-981587ca8275	lithobates_warszewitschii	NA	NA	NA	2024-12-01	hotel_campestre	el_valle	panama	21	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	615
459ea6d2-2fd3-5b2e-b053-4a92a2f95e71	hylodes_phyllodes	f1d0655b-066a-5ce7-8bef-cb15e62668d5	BRAMPsBath032	62.856	2022-11-09	t3	boraceia	brazil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
e2924f60-f6ce-4ff2-98ed-4dcef4003624	rana_muscosa	e5c953ef-5121-54a2-b196-4638acd7a813	BII0172	58.482	2022-09-18	50783	california	usa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2871
0fdf9cfe-a802-4507-8dd2-3055b21b77a7	lithobates_sphenocephalus	NA	NA	NA	2019-10-29	kisatchie_bayou	louisiana	usa	18.8	18.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9aadae33-9d68-474d-9b1b-2f331505bec2	lithobates_sphenocephalus	NA	NA	NA	2017-10-10	kisatchie_bayou	louisiana	usa	18.6	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9ea0e5ec-6eda-4a9c-a35b-402f1dc1a88b	silverstoneia_flotator	NA	NA	NA	2015-06-22	rio_marta	el_cope	panama	NA	NA	gravel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	398
