"target_metric","term","estimate","std.error","p.value","conf.low","conf.high","significant"
"TotalNoSporesTbClCorrected","long",-1.89952660847942,1.34637797355373,0.160493723805314,-4.56122362000135,0.762170403042512,""
"TotalNoSporesTbClCorrected","life_stageJuvenile",-0.772832051724016,0.614010380954887,0.210232151871214,-1.98668850818204,0.441024404734009,""
"TotalNoSporesTbClCorrected","lat",-3.31394481543817,2.906869577277,0.256202902821011,-9.06062681611,2.43273718523366,""
"TotalNoSporesTbClCorrected","annual_precip",-1.17700955913821,1.43498556863005,0.413472885956805,-4.01387771549867,1.65985859722225,""
"TotalNoSporesTbClCorrected","sexMale",0.187298083926825,0.233417239378418,0.423661878548541,-0.274151806590446,0.648747974444095,""
"TotalNoSporesTbClCorrected","(Intercept)",-0.70663603151355,1.0005794946629,0.481212433482159,-2.68471314139438,1.27144107836728,""
"TotalNoSporesTbClCorrected","temp_seasonality",1.50901610522553,3.40989221571762,0.658776099050403,-5.23210718887542,8.25013939932648,""
"TotalNoSporesTbClCorrected","precip_seasonality",-0.410738354838108,1.03652581707458,0.692508966943183,-2.45987888139518,1.63840217171897,""
"TotalNoSporesTbClCorrected","annual_mean_temp",0.249690869214557,1.8085966836862,0.890391706468042,-3.32578086500415,3.82516260343327,""
"Total_cells_ml","bd_presence",0.259346315527282,0.187233778169052,0.168195032258543,-0.110802036271075,0.629494667325639,""
"Total_cells_ml","snout_vent_length",0.340320605516359,0.323044448776574,0.293923369942568,-0.298316137498543,0.978957348531261,""
"Total_cells_ml","precip_seasonality",-0.719907394074782,1.26282380544779,0.569532402517783,-3.21642353966145,1.77660875151189,""
"Total_cells_ml","annual_mean_temp",-1.02877728734131,2.2034559187912,0.641297354297375,-5.38485867701713,3.32730410233451,""
"Total_cells_ml","(Intercept)",-0.487736916164538,1.21902955458399,0.68968644082506,-2.89767482819741,1.92220099586834,""
"Total_cells_ml","sexMale",0.0609977830061232,0.28437771798188,0.830470460714828,-0.501197482338203,0.62319304835045,""
"Total_cells_ml","long",0.236753620600687,1.64032398240967,0.88544325862108,-3.00605451178691,3.47956175298829,""
"Total_cells_ml","sexUnknown",0.106588599879353,0.761293749778199,0.888852034663906,-1.39843698615761,1.61161418591631,""
"Total_cells_ml","lat",-0.407216818834835,3.54150764124503,0.908621364348485,-7.40853479205092,6.59410115438125,""
"Total_cells_ml","temp_seasonality",-0.179762527682334,4.15435196411466,0.965546809116712,-8.39263174041013,8.03310668504546,""
"Total_cells_ml","life_stageJuvenile",0.0145674906993301,0.748063302514066,0.984490821350882,-1.46430240753245,1.49343738893111,""
"Total_cells_ml","annual_precip",0.0251213455989515,1.74827670154373,0.98855573990124,-3.43110191652846,3.48134460772636,""
"Total_cells_ml","body_mass_g",-0.00172992411474512,0.194299893777834,0.992908816018195,-0.385847502362434,0.382387654132944,""
